zip,x,y,city,case,death
35896,395.9295375,80.81293787,HUNTSVILLE,52231,697
35901,483.8132708,259.6362752,GADSDEN,19816,500
35903,516.4150167,269.6493682,GADSDEN,19816,500
35904,477.2089875,251.281952,GADSDEN,19816,500
35905,506.6380375,282.0761562,GADSDEN,19816,500
35906,481.6536208,257.2477779,RAINBOW CITY,19816,500
35907,503.5869542,275.9236148,GADSDEN,19816,500
35950,450.9352042,186.5612078,ALBERTVILLE,18338,304
35951,460.4339042,184.5345505,ALBERTVILLE,18338,304
35952,457.2868625,247.8726927,ALTOONA,19816,500
35953,455.8602167,319.8871856,ASHVILLE,16034,339
35954,486.3097542,252.6910117,ATTALLA,19816,500
35956,465.8208875,198.4774889,BOAZ,18338,304
35957,453.4694833,195.0160702,BOAZ,18338,304
35958,567.0238333,34.5392348,BRYANT,9860,184
35959,574.3572042,175.2773909,CEDAR BLUFF,3023,60
35960,578.5823083,237.8215511,CENTRE,3023,60
35966,553.1186875,63.39598189,FLAT ROCK,9860,184
35972,454.3350667,265.1684473,GALLANT,19816,500
35973,585.0273792,171.5849086,GAYLESVILLE,3023,60
35976,444.4439167,178.8607669,GUNTERSVILLE,18338,304
35979,572.8318583,54.32503387,HIGDON,9860,184
35980,430.9790042,212.865924,HORTON,18338,304
35983,547.6798083,229.4674798,LEESBURG,3023,60
35987,450.6297042,286.7256502,STEELE,16034,339
35990,444.394175,251.4890777,WALNUT GROVE,19816,500
36003,356.9980667,656.2384624,AUTAUGAVILLE,9967,148
36005,512.327975,810.2465242,BANKS,4791,106
36006,359.0034,624.4693562,BILLINGSLEY,9967,148
36009,434.1977208,880.5453005,BRANTLEY,2448,75
36010,534.3155542,841.9211388,BRUNDIDGE,4791,106
36013,461.8824833,691.4407659,CECIL,34092,740
36016,611.6622792,818.7656409,CLAYTON,3575,76
36017,584.1193,832.9217525,CLIO,3575,76
36020,433.2686875,642.3048472,COOSADA,15186,286
36022,428.14275,614.9073034,DEATSVILLE,15186,286
36024,491.1797375,607.1405924,ECLECTIC,15186,286
36025,471.9833708,610.2207688,ELMORE,15186,286
36026,474.52,574.3728982,EQUALITY,1800,40
36027,617.7977375,791.1934766,EUFAULA,3575,76
36028,428.9368542,891.02808,DOZIER,2448,75
36029,556.1729042,746.3255575,FITZPATRICK,1516,44
36030,334.3795125,807.4730048,FOREST HOME,3258,96
36031,546.8183375,706.5526291,FORT DAVIS,2341,63
36032,379.2200583,766.4731967,FORT DEPOSIT,1747,64
36033,374.0097167,864.2869384,GEORGIANA,3258,96
36034,465.4867958,867.6793152,GLENWOOD,2448,75
36035,480.1985792,817.5107916,GOSHEN,4791,106
36036,465.6591292,766.763727,GRADY,34092,740
36037,381.5710375,820.930886,GREENVILLE,3258,96
36038,411.2202042,955.9524223,GANTT,6706,183
36039,534.8529208,695.6601338,HARDAWAY,2341,63
36040,381.3900875,731.3605973,HAYNEVILLE,1747,64
36041,438.3597667,783.3710784,HIGHLAND HOME,2448,75
36042,418.941325,802.1320839,HONORAVILLE,2448,75
36043,423.8258,717.6925667,HOPE HULL,34092,740
